Grupo de Pesquisa,Instituição,Líder 1,Líder 2,Área
"Conhecimento, Currículo e Avaliação (CONCAVA)",UERJ,Talita Vidal Pereira,Marize Peixoto da Silva Figueiredo,Educação
"Conhecimento, Educação e Sustentabilidade em Ação",IFTO,Paulo Hernandes Gonçalves da Silva,Katia Paulino de Sousa,Educação
"CONHECIMENTO, ENFERMAGEM E SAÚDE DAS POPULAÇÕES (GRUPESCES)",UERN,Rodrigo Jácob Moreira de Freitas,Francisca Adriana Barreto,Enfermagem
"Conhecimento, Estratégia e Competitividade",SOCIESC,Mirian Magnus Machado,Michael Samir Dalfovo,Administração
"Conhecimento, Informação e Memória",UFSM,Tiegue Vieira Rodrigues,,Filosofia
"Conhecimento, linguagem e mente",UESC,Juliana de Orione Arraes Fagundes,,Filosofia
"Conhecimento, monitoramento e conservação da flora marinha",IP/JBRJ,Leonardo Tavares Salgado,,Oceanografia
"Conhecimento, secularismo e religião",UNICENTRO,Marciano Adilio Spica,Gilmar Evandro Szczepanik,Filosofia
ConJor - Convergência e Jornalismo,UFOP,Debora Cristina Lopez,Marcelo Freire Pereira de Souza,Comunicação
Conjugalidade e Parentalidade,PUC-Rio,Terezinha Féres Carneiro,,Psicologia
CONJUNTOS INVARIANTES DE SEGUNDA ORDEM E SUAS APLICAÇÕES,UFERSA,Elmer Rolando Llanos Villarreal,,Matemática
CONJUNTOS INVARIANTES DE SEGUNDA ORDEM E SUAS APLICAÇÕES,UFERSA,Elmer Rolando Llanos Villarreal,Andrés Ortiz Salazar,Engenharia Elétrica
Conjuntura Econômica da Baixada Santista,UNISANTOS,Kerginaldo Tomio Yamashiro,Caio Cesar Mussolini,Economia
"ConnectLab - Grupo de Estudo e Pesquisa em Conexões entre Práticas Corporais, Tecnologias e Inclusão",UFG,Ana Paula Salles da Silva,Flórence Rosana Faganello Gemente,Educação Física
Conodontes e Fusulinídeos,UFRGS,Ana Karina Scomazzon,Luciane Profs Moutinho,Geociências
CONPEEJA: CONJUNTURAS DE PESQUISAS E ESTUDOS EM EDUCAÇÃO DE JOVENS E ADULTOS,UNEB,Lívia da Silva Modesto Rodrigues,Daniela Lopes Oliveira Dourado,Educação
ConQuer - Grupo de estudos e pesquisas queer e outras epistemologias feministas,UFS,Alfrancio Ferreira Dias,,Educação
CONREGAS - Conservação de Recursos Genéticos Animais e Seus Sistemas de Produção,IFBAIANO,Olimpia Lima Silva Filha,,Zootecnia
CONSCIÊNCIA - Grupo de Estudos e Pesquisas em Materialismo Histórico-Dialético e Educação - FE/UnB,UnB,Erlando da Silva Rêses,Mônica Castagna Molina,Educação
Consciência e Cognição,UFPE,Tarik de Athayde Prata,Marcos Antonio da Silva Filho,Filosofia
Conscient - Laboratório de Estudos em consumo sustentável,UnB,Solange Alfinito,Eluiza Alberto de Morais Watanabe,Administração
ConSeg - Confiabilidade e Segurança de Sistemas,PUCRS,Avelino Francisco Zorzo,,Ciência da Computação
ConservaÃ§Ã£o e Manejo de Fauna Silvestre,UFS,Juan Manuel Ruiz-Esparza Aguilar,Elias Alberto Gutierrez Carnelossi,Zoologia
Conservação Ambiental,UNINCOR,Letícia Rodrigues da Fonseca,,Ciências Ambientais
Conservação Colaborativa e Áreas Protegidas e Conservadas,USP,Sueli Angelo Furlan,,Geografia
Conservação da arquitetura moderna,UFPE,Luiz Manuel do Eirado Amorim,,Arquitetura e Urbanismo
Conservação da Biodiversidade,UNEMAT,Celice Alexandre Silva,Alessandra Regina Butnariu,Ecologia
Conservação da Biodiversidade,UFV,Helder Canto Resende,Eduardo Gusmão Pereira,Biologia Geral
Conservação da Biodiversidade Amazônica no Brasil,ICMBio,Rafaela Nascimento Vicentini,,Ecologia
Conservação da biodiversidade marinha no nordeste do Brasil,ICMBio,Leonardo Tortoriello Messias,,Oceanografia
Conservação da Biodiversidade Vegetal e Sustentabilidade (ConserBio),UFSB,Jorge Antonio Silva Costa,Cecília Oliveira de Azevedo,Botânica
Conservação da Natureza da Zona Costeira,UNESP,Davis Gruber Sansolo,,Geografia
Conservação da Natureza e Educação Ambiental,UTFPR,Lia Maris Orth Ritter Antiqueira,Elizabete Satsuki Sekine,Ecologia
Conservação da Natureza e Manejo de Áreas Protegidas,UFV,Gumercindo Souza Lima,,Recursos Florestais e Engenharia Florestal
Conservação da Sociobiodiversidade associada a Povos e Comunidades Tradicionais e Unidades de Conservação,ICMBio,Iara Vasco Ferreira,,Ciências Ambientais
Conservação de ambientes aquáticos,UEL,Fernanda Simões de Almeida,,Ecologia
Conservação de Aves Silvestres no Brasil,ICMBio,Priscilla Prudente do Amaral,,Ecologia
Conservação de espécies vegetais,IFRS,Juliana Marcia Rogalski,,Ecologia
Conservação de fauna e serviços associados,UnB,Ludmilla Moura de Souza Aguiar,Yasmine Antonini,Ecologia
CONSERVAÇÃO DE FORRAGENS,UFV,Odilon Gomes Pereira,Karina Guimarães Ribeiro,Zootecnia
Conservação de Germoplasma Animal,UFERSA,Alexandre Rodrigues Silva,Alexsandra Fernandes Pereira,Medicina Veterinária
"Conservação de primatas no Brasil: planejamento, pesquisa e manejo.",ICMBio,Leandro Jerusalinsky,Amely Branquinho Martins,Zoologia
Conservação de Recursos Genéticos de Animais Domésticos e seus habitats,UFRPE,Maria Norma Ribeiro,Manoel Adrião Gomes Filho,Zootecnia
Conservação de recursos naturais,UPF,Noeli Zanella,,Zoologia
Conservação do Patrimônio Natural,UFPE,Onilda Gomes Bezerra,,Planejamento Urbano e Regional
Conservação do Solo e da Água,UEPG,Fabrício Tondello Barbosa,Eduardo Augusto Agnellos Barbosa,Agronomia
Conservação do Solo e Qualidade Ambiental,UFPI,Yuri Jacques Agra Bezerra da Silva,,Agronomia
Conservação dos ecossistemas costeiros,UNIVALI,Joaquim Olinto Branco,Rosemeri Carvalho Marenzi,Ecologia
Conservação e bem-estar animal,IFMG,Michelle de Paula Gabardo,,Medicina Veterinária
Conservação e Biodiversidade do Semiárido,CESG,Euler Melo Nogueira,,Recursos Florestais e Engenharia Florestal
Conservação e Diversificação no uso de Germoplasma de Fruteiras,EMBRAPA,Fernanda Vidigal Duarte Souza,Janay Almeida dos Santos Serejo,Agronomia
Conservação e Evolução de Ecossistemas e da Biodiversidade - CONEEBio,UCSAL,Moacir Santos Tinôco,,Ecologia
Conservação e Gestão de Commons,UNICAMP,Cristiana Simão Seixas,,Ciências Ambientais
Conservação e história natural de anfíbios do sul do Brasil,SEMA,Patrick Colombo,,Zoologia
Conservação e Manejo da Biota Amazônica: Bases Ecológicas para o Desenvolvimento Racional da Região.,INPA,William Ernest Magnusson,Albertina Pimentel Lima,Ecologia
Conservação e manejo de abelhas sem ferrão e qualidade de seus produtos,UFOPA,Graciene Conceição dos Santos,Cristina Aledi Felsemburgh,Zootecnia
"Conservação e manejo de ambientes aquáticos, costeiros e oceânicos",IFPR,Allan Paul Krelling,,Oceanografia
Conservação e Manejo de Bacias Hidrográficas,UTFPR,Edson Fontes de Oliveira,Maurício Moreira dos Santos,Ecologia
Conservação e Manejo de Ecossistemas Florestais,UFRB,Deoclides Ricardo de Souza,Elton da Silva Leite,Recursos Florestais e Engenharia Florestal
Conservação e Melhoramento Genético Florestal,IF,Miguel Luiz Menezes Freitas,Alexandre Magno Sebbenn,Recursos Florestais e Engenharia Florestal
Conservação e Melhoramento Genético Florestal,IPA,Miguel Luiz Menezes Freitas,Alexandre Magno Sebbenn,Recursos Florestais e Engenharia Florestal
Conservação e pesquisa de mamiferos aquáticos no Brasil,ICMBio,Fábia de Oliveira Luna,,Ecologia
Conservação e Processamento de Produtos Agropecuários e Extrativistas,EMBRAPA,Silvia de Carvalho Campos Botelho,Fernando Mendes Botelho,Engenharia Agrícola
Conservação e prospecção da biodiversidade para gerar renda aos agricultores familiares na Amazônia Legal,IFRN,Daniel Santiago Pereira,Marcos Enê Chaves Oliveira,Zootecnia
Conservação e reabilitação urbana e arquitetônica,UFMG,Leonardo Barci Castriota,,Arquitetura e Urbanismo
Conservação e Recuperação dos Ecossistemas Florestais e dos Recursos Hídricos,IFRJ,Cristiana do Couto Miranda,,Recursos Florestais e Engenharia Florestal
Conservação e Salubridade Ambiental,UFPR,Daniel Costa dos Santos,,Engenharia Civil
Conservação e uso sustentável dos recursos naturais,UNICENTRO,Elynton Alves do Nascimento,Fabrício Ventura Barsi,Engenharia Sanitária
Conservação e uso sustentável de recursos naturais,IFSC,Luís Carlos Vieira,,Agronomia
Conservação e utilização de recursos florestais,UFU,Antônio José Vinha Zanuncio,Amélia Guimarães Carvalho,Recursos Florestais e Engenharia Florestal
Conservação Ecossistêmica e Recuperação de Áreas Degradadas no Semiárido,UFCG,Alecksandra Vieira de Lacerda,Carina Seixas Maia Dornelas,Ecologia
Conservação Preventiva de Edifícios e Sítios Históricos,FCRB,Claudia Suely Rodrigues de Carvalho,Carla Maria Teixeira Coelho,Arquitetura e Urbanismo
"Conservação, bioprospecção e uso sustentável de recursos naturais do cerrado e caatinga",UNIMONTES,Dario Alves de Oliveira,,Biologia Geral
"CONSERVAÇÃO, DESCRIÇÃO E CATALOGAÇÃO DA COLEÇÃO DE EMBRIOLOGIA DO LABORATÓRIO DE ANATOMIA HUMANA DA UNIPINHAL: PREPARAÇÃO DE MATERIAL DIDÁTICO",UNIPINHAL,Érica Ferraz,,Saúde Coletiva
"CONSERVAÇÃO, DESCRIÇÃO E CATALOGAÇÃO DOS ESQUELETOS DO OSSÁRIO DO LABORATÓRIO DE ANATOMIA HUMANA DA UNIPINHAL: PREPARAÇÃO DE MATERIAL DIDÁTICO",UNIPINHAL,Érica Ferraz,,Saúde Coletiva
"Conservação, manejo e produção florestal na Amazônia Meridional",UNEMAT,Juliana Garlet,Rubens Marques Rondon Neto,Recursos Florestais e Engenharia Florestal
"Conservação, Manejo e Sustentabilidade dos Recursos Naturais em Roraima",IFRR,Danieli Lazarini de Barros,Marília Medeiros Fernandes de Negreiros,Ciências Ambientais
"Conservação, Manejo, Produção e Qualidade de Forragens",UFRB,Daniele Rebouças Santana Loures,Ossival Lolato Ribeiro,Zootecnia
"Conservação, melhoramento e gestão de recursos genéticos - GENAPLANT",UFS,Renata Silva-Mann,Laura Jane Gomes,Agronomia
"Conservação, propagação e cultivo de espécies de culturas tradicionais, não convencionais e florestais",UFRPE,Monalisa Alves Diniz da Silva,,Agronomia
"CONSERVAÇÃO, VALORAÇÃO E PROCESSAMENTO DE ESPÉCIES FLORESTAIS",EMBRAPA,Rossana Catie Bueno de Godoy,,Ciência e Tecnologia de Alimentos
"CONSERVE - Conforto Ambiental, Sustentabilidade e Energia Renováveis em Edificações",IFSC,Ana Ligia Papst de Abreu,Rogério de Souza Versage,Engenharia Civil
ConSiste: Concepção de Sistemas de Computação,UFRN,Thais Vasconcelos Batista,Nelio Alessandro Azevedo Cacho,Ciência da Computação
Consolidação e aperfeiçoamento de Políticas Públicas voltadas ao transporte marítimo/aquaviário,EGN,André Panno Beirão,,Ciência Política
"Constelações literárias de autoria negro-africana, afro-latina e afro-brasileira",IFSP,Rafaela Cássia Procknov,Danuza Américo Felipe de Lima,Letras
Constelações: arte e cultura de uma perspectiva crítica,UNIVASF,Elson de Assis Rabelo,,Artes
Constitucionalismo democratico social,IESP,Jean Patrício da Silva,,Direito
Constitucionalismo digital e devido processo legal,IDP,João Paulo Lordelo Guimarães Tavares,,Direito
Constitucionalismo e Democracia: filosofia e dogmática constitucional contemporâneas,UFPR,Vera Karam de Chueiri,Katya Kozicki,Direito
Constitucionalismo e direitos na era digital - Algolatr.IA,PUC Minas,Jose Adercio Leite Sampaio,,Direito
Constitucionalismo e Estado Contemporâneo,UNIOESTE,Lissandra Espinosa de Mello Aguirre,Isadora Minotto Gomes Schwertner,Direito
Constitucionalismo na América Latina,UFRGS,Roberta Camineiro Baggio,Rodrigo Luz Peixoto,Direito
"Constitucionalismo Pós-Moderno, Hermenêutica e Processo: direitos humanos e novas tecnologias",UNOESC,Cesar Marció,Paulo Junior Trindade dos Santos,Direito
"CONSTITUCIONALISMO(S), DIREITOS E DEMOCRACIA",UNESA,Marcelo Machado Costa Lima,Getúlio Nascimento Braga Júnior,Direito
"CONSTITUCIONALISMO, CIDADANIA E CONCRETIZAÇÃO DE POLÍTICAS PÚBLICAS",UFS,Henrique Ribeiro Cardoso,,Direito
"Constitucionalismo, Internacionalização e Cooperação - CONSTINTER",FURB,Milena Petters Melo,,Direito
"Constitucionalismos, Democracias e Políticas Públicas",UNEMAT,Raimundo Nonato Cunha de França,Regiane Cristina Custódio,Sociologia
Constitucionalização das relações privadas,UFPE,Paulo Luiz Neto Lôbo,Fabiola Albuquerque Lobo,Direito
CONSTITUCIONALIZAÇÃO DO DIREITO CIVIL E HERMENÊUTICA JURÍDICA,ULBRA,Luiz Gonzaga Silva Adolfo,,Direito
"Constitucionalização do Direito privado, obrigações, responsabilidade civil, consumidor e direitos da personalidade.",CESUMAR,Cleber Sanfelici Otero,,Direito
Constituição do sujeito na contemporaneidade,UnC,Maris Stela da Luz Stelmachuk,Carol Maltauro Wechorkowski,Psicologia
Constituição e Cidadania,UNAERP,Rafael Tomaz de Oliveira,,Direito
CONSTITUIÇÃO E CRÍTICA DA SUBJETIVIDADE NA HISTÓRIA DA FILOSOFIA,UFSCAR,Débora Cristina Morato Pinto,Luiz Damon Santos Moutinho,Filosofia
"Constituição e Democracia: Direitos, Deveres e Responsabilidades nos Sistemas Político e de Justiça Contemporâneos",UFAM,Rafael da Silva Menezes,,Direito
"Constituição Econômica, Regulação e Agronegócio",ALFA,Bruno César Lorencini,Ricardo Pedro Guazzelli Rosario,Direito
CONSTITUIÇÃO FEDERAL BRASILEIRA E SUA CONCRETIZAÇÃO PELA JUSTIÇA CONSTITUCIONAL,UFRN,Leonardo Martins,Pedro de Oliveira Alves,Direito
Constituição psíquica e (des)articulações com o desenvolvimento infantil,UFPA,Izabella Paiva Monteiro de Barros,,Psicologia
"Constituição, Argumentação e Separação de Poderes",IDP,Mariana Barbosa Cirne,,Direito
"Constituição, Democracia e Crise (CODEMC)",UFRJ,Daniel Capecchi Nunes,,Direito
"CONSTITUIÇÃO, EMPRESA E MERCADO (GECEM/UnB)",UnB,Ana de Oliveira Frazão Vieira de Mello,Angelo Gamba Prata de Carvalho,Direito
"Constituição, Literatura e Instituições",UFMS,Silvia Araújo Dettmer,,Direito
"constituição, política & instituições",USP,Luís Virgílio Afonso da Silva,Conrado Hübner Mendes,Direito
"Constituição, Política e Instituições Judiciais",UnB,Alexandre Douglas Zaidan de Carvalho,,Direito
"Constituição, Trabalho e Acesso à Justiça",UDF,Ricardo José Macedo de Britto Pereira,José Roberto Freire Pimenta,Direito
"Constituição, Variação e Mudança do/no Português",UEFS,Josane Moreira de Oliveira,Norma Lucia Fernandes de Almeida,Lingüística
Constituição; Desenvolvimento e Envelhecimento Humano,UNEMAT,Claudia Elaine Cestari,Mayra Aparecida Côrtes,Medicina
"Constituições, estruturalismo e novos direitos.",UNAMA,Frederico Antonio Lima de Oliveira,,Direito
Constituições: Centro de Constitucionalismo e Comparativismo,UFMG,Emílio Peluso Neder Meyer,,Direito
Constituir: Constituição e Política,UNEB,Gilsely Barbara Barreto Santana,,Direito
Construção Civil,UFS,Debora de Gois Santos,,Engenharia Civil
"Construção Civil, Petróleo e Desenvolvimento Sustentável",IFRN,Evilane Cássia de Farias,Marcos Alyssandro Soares dos Anjos,Engenharia Civil
"Construção Civil, Petróleo e Desenvolvimento Sustentável",IFRN,Walney Gomes da Silva,Luiz Ailton de Araújo Souza,Engenharia Civil
CONSTRUÇÃO DE AUTORIA E DE IDENTIDADE ACADÊMICA E PROFISSIONAL DIÁLOGOS ENTRE SABERES E PRÁTICAS,PUC Minas,Maria Angela Paulino Teixeira Lopes,,Lingüística
Construção de Fatos Sociais,PUC GOIÁS,Lenise Santana Borges,,Psicologia
Construção dos processos de Subjetividade no Contexto Escolar,UNOESTE,Camélia Santina Murgo,,Psicologia
Construção e validação de Instrumentos de Mensuração de construtos,UNIFESSPA,Silvania da Silva Onça,,Psicologia
CONSTRUÇÃO SUSTENTÁVEL,UNERJ,Carine Cardoso dos Santos,Maria Rosane Vilpert Vitali,Engenharia Civil
CONSTRUÇÕES CIVIS,IF SUDESTE MG,Walcyr Duarte Nascimento,Sheila Elisângela Menini,Engenharia Civil
Construções da Parentalidade: Olhares Interdisciplinares.,UnB,Daniela Scheinkman Chatelard,Katia Cristina Tarouquella Rodrigues,Psicologia
Construções Rurais e Ambiência,UFCG,José Wallace Barbosa do Nascimento,Dermeval Araújo Furtado,Engenharia Agrícola
"Construções rurais, conforto ambiental e eficiência energética nas edificações agrícolas",UFPEL,Humberto Dias Vianna,,Engenharia Agrícola
Construções Sustentáveis e Ambiência,UFF,Daiane Cecchin,,Engenharia Agrícola
Construções sustentáveis e Saneamento,IFPE,Ronaldo Faustino da Silva,,Engenharia Civil
"Construções, tratamento de resíduos e monitoramento ambiental",UFMT,Roselene Maria Schneider,Adriana Garcia do Amaral,Engenharia Agrícola
ConsuMeering,UFPE,Salomão Alencar de Farias,,Administração
Consumer Behavior Research Group,UFPE,Marconi Freitas da Costa,,Administração
CONSUMO E CIDADANIA,UFPA,Dennis Verbicaro,,Direito
Consumo e Culturas Digitais,UFSM,Sandra Rubia da Silva,Leandro Stevens,Comunicação
Consumo e Desigualdade,FESMP/RS,Cristina Stringari Pasqual,,Direito
Consumo e Marcas em Ambiente Internacional e Regional,ESPM,Vivian Iara Strehlau,Flavio Santino Bizarrias,Administração
Consumo e Sociabilidades,ESPM,Sílvia Borges Corrêa,Veranise Jacubowski Correia Dubeux,Antropologia
Consumo e Sociologia do Marketing,UFRRJ,Flavia Luzia Oliveira da Cunha Galindo,Jose Mauro Goncalves Nunes,Administração
Consumo e Transformação Digital,ESPM,Evandro Luiz Lopes,Giuliana Isabella,Administração
CONSUMO RESPONSÁVEL E GLOBALIZAÇÃO ECONÔMICA,CESUPA,Dennis Verbicaro,Felipe Guimarães de Oliveira,Direito
Consumo Sustentável e Plataformas Digitais,UFRJ,Daniela Abrantes Ferreira,,Administração
"Consumo, Cultura e Gestão em Gastronomia",UFPB,Valéria Louise de Araújo Maranhão Saturnino Silva,Maria dos Remédios Antunes Magalhães,Administração
"Consumo, Gastronomia e Redes Sociais Virtuais",UFRJ,Breno de Paula Andrade Cruz,Renato Augusto da Silva Monteiro,Administração
"Consumo, Tecnologia e Transformação Digital",UNINOVE,Júlio Araujo Carneiro da Cunha,Leonardo Vils,Administração
Contabilidade - Um conhecimento globalizado,UNICENTRO,Ana Léa Macohon Klosowski,Marinês Taffarel,Administração
CONTABILIDADE BRASILEIRA,UFPEL,Daniela Miguel Coelho,,Administração
Contabilidade Contemporânea e Finanças,UFRRJ,Alessandro Pereira Alves,Antonio Jose Patrocínio Pereira,Administração
